;set
272;train
273;train
274;train
275;train
276;train
277;train
278;train
279;train
280;train
281;train
282;train
283;train
284;train
285;train
286;train
287;train
288;train
289;train
290;train
291;train
292;train
293;test
294;train
295;train
296;test
297;test
298;test
299;test
300;test
301;test
302;test
303;train
304;train
305;train
306;train
307;train
308;test
309;test
310;train
311;train
312;train
313;train
314;train
315;test
316;test
317;test
318;test
319;train
320;test
321;test
322;test
323;test
324;train
325;train
326;train
327;train
328;train
329;train
330;train
331;train
332;train
333;train
334;train
335;train
336;train
337;train
338;train
339;train
340;train
341;train
342;train
343;train
344;train
345;train
346;train
347;train
348;train
349;train
350;train
351;train
352;train
353;train
354;test
355;train
356;train
357;test
358;test
359;test
360;test
361;test
362;test
363;test
364;test
365;test
366;test
367;test
368;test
369;test
370;test
371;test
372;train
373;train
374;test
375;train
376;train
377;train
378;train
379;train
380;train
381;train
382;train
383;train
384;train
385;train
386;train
387;train
388;train
389;train
390;train
391;train
392;train
393;train
394;train
395;train
396;train
397;train
398;train
399;train
400;train
401;train
402;train
403;train
404;train
405;train
406;train
407;train
408;train
409;train
410;train
411;train
412;train
413;train
414;train
415;train
416;train
417;train
418;train
419;train
420;train
421;train
422;train
423;train
424;train
425;train
426;train
427;train
428;train
429;train
430;train
431;train
432;train
433;train
434;train
435;train
436;train
437;train
438;train
439;train
440;train
441;train
442;train
443;train
444;train
445;train
446;train
447;train
448;train
449;train
450;train
451;train
452;train
453;train
454;train
455;train
456;train
457;train
458;train
459;train
460;train
461;train
462;train
463;train
464;train
465;train
466;train
467;train
468;train
469;train
470;train
471;train
472;train
473;train
474;train
475;train
476;train
477;train
478;train
479;train
480;train
481;train
482;train
483;train
484;train
485;train
486;train
487;train
488;train
489;train
490;train
491;train
492;train
493;train
494;train
495;train
496;train
497;train
498;train
499;train
500;train
501;train
502;train
503;train
504;train
505;train
506;train
507;train
508;train
509;train
510;train
511;train
512;train
513;train
514;train
515;train
516;train
517;train
518;train
519;train
520;train
521;train
522;train
523;train
524;train
525;train
526;train
527;train
528;train
529;train
530;train
531;train
532;train
533;train
534;train
535;train
536;train
537;train
538;train
539;train
540;train
541;train
542;train
543;train
544;train
545;train
546;train
547;train
548;train
549;train
550;train
551;train
552;train
553;train
554;train
555;train
556;train
557;train
558;train
559;train
560;train
561;train
562;train
563;train
564;train
565;train
566;train
567;train
568;train
569;train
570;train
571;train
572;train
573;train
574;train
575;train
576;train
577;train
578;train
579;train
580;train
581;train
582;train
583;train
584;train
585;train
586;train
587;train
588;train
589;train
590;train
591;train
592;train
593;train
594;train
595;train
596;train
597;train
598;train
599;train
600;train
601;train
602;train
603;train
604;train
605;train
606;train
607;train
608;train
609;train
610;train
611;train
612;train
613;train
614;train
615;train
616;train
617;train
618;train
619;train
620;train
621;train
622;train
623;train
624;train
625;train
626;train
627;train
628;train
629;train
630;train
631;train
632;train
633;train
634;train
635;train
636;train
637;train
638;train
639;train
640;train
641;train
642;train
643;train
644;train
645;train
646;train
647;train
648;train
649;train
650;train
651;train
652;train
653;train
654;train
655;train
656;train
657;train
658;train
659;train
660;train
661;train
662;train
663;train
664;train
665;train
666;train
667;train
668;train
669;train
670;train
671;train
672;train
673;train
674;train
675;train
676;train
677;train
678;train
679;train
680;train
681;train
682;train
683;train
684;train
685;train
686;train
687;train
688;train
689;train
690;train
691;train
692;train
693;train
694;train
695;train
696;train
697;train
698;train
699;train
700;train
701;train
702;train
703;train
704;train
705;train
706;train
707;train
708;train
709;train
710;train
711;train
712;train
713;train
714;train
715;train
716;train
717;train
718;train
719;train
720;train
721;train
722;train
723;train
724;train
725;train
726;train
727;train
728;train
729;train
730;test
731;test
732;test
733;test
734;test
735;test
736;test
737;train
738;train
739;train
740;train
741;train
742;train
743;train
744;train
745;train
746;train
747;train
748;train
749;train
750;train
751;train
752;train
753;train
754;train
755;train
756;train
757;test
758;train
759;train
760;train
761;train
762;train
763;train
764;train
765;train
766;train
767;train
768;train
769;train
770;train
771;train
772;train
773;train
774;train
775;train
776;train
777;train
778;train
779;train
780;train
781;train
782;train
783;train
784;train
785;train
786;train
787;train
788;train
789;train
790;train
791;train
792;train
793;train
794;train
795;train
796;train
797;train
798;train
799;train
800;train
801;train
802;train
803;train
804;train
805;train
806;train
807;train
808;train
809;train
810;train
811;train
812;train
813;train
814;train
815;train
816;train
817;train
818;train
819;train
820;train
821;train
822;train
823;train
824;train
825;train
826;train
827;train
828;train
829;train
830;train
831;train
832;train
833;train
834;train
835;train
836;train
837;train
838;train
839;train
840;train
841;train
842;train
843;train
844;test
845;test
846;train
847;train
848;train
849;train
850;train
851;train
852;train
853;train
854;train
855;train
856;train
857;train
858;train
859;train
860;train
861;train
862;train
863;train
864;train
865;train
866;train
867;train
868;train
869;train
870;train
871;train
872;train
873;train
874;train
875;train
876;train
877;train
878;train
879;train
880;train
881;train
882;train
883;train
884;train
885;train
886;train
887;train
888;train
889;train
890;train
891;train
892;train
893;train
894;train
895;train
896;train
897;train
898;train
899;train
900;train
901;test
902;test
903;test
904;test
905;test
906;test
907;train
908;train
909;train
910;train
911;train
912;train
913;train
914;train
915;test
916;train
917;test
918;train
919;train
920;train
921;train
922;train
923;train
924;train
925;train
926;train
927;train
928;train
929;train
930;train
931;train
932;train
933;train
934;train
935;train
936;train
937;test
938;test
939;train
940;train
941;train
942;train
943;train
944;train
945;train
946;train
947;train
948;train
949;test
950;test
951;test
952;test
953;test
954;test
955;test
956;train
957;train
958;train
959;train
960;train
961;train
962;train
963;train
964;train
965;train
966;train
967;train
968;train
969;train
970;train
971;train
972;train
973;train
974;train
975;train
976;train
977;train
978;train
979;train
980;train
981;train
982;train
983;train
984;train
985;train
986;train
987;train
988;train
989;train
990;train
991;test
992;test
993;train
994;train
995;train
996;train
997;train
998;test
999;train
1000;train
1001;train
1002;train
1003;train
1004;train
1005;train
1006;train
1007;train
1008;train
1009;train
1010;train
1011;train
1012;train
1013;train
1014;train
1015;train
1016;train
1017;train
1018;train
1019;train
1020;train
1021;train
1022;train
1023;train
1024;test
1025;test
1026;train
1027;test
1028;test
1029;test
1030;train
1031;train
1032;train
1033;train
1034;train
1035;train
1036;train
1037;train
1038;train
1039;train
1040;test
1041;train
1042;train
1043;train
1044;train
1052;train
1053;train
1054;train
1055;train
1056;train
1057;train
1058;train
1059;train
1060;train
1061;test
1062;train
1063;train
1064;train
1065;train
1066;train
1067;train
1068;train
1069;train
1070;train
1071;train
1072;train
1073;train
1074;train
1075;train
1076;train
1077;train
1078;train
1079;train
1080;train
1081;train
1082;train
1083;train
1084;train
1085;train
1086;train
1087;train
1088;train
1089;train
1090;train
1091;train
1092;train
1093;train
1094;train
1095;train
1096;train
1097;train
1098;train
1099;train
1100;train
1101;train
1102;train
1103;train
1104;train
1105;train
1106;train
1107;train
1108;train
1109;train
1110;train
1111;train
1112;train
1113;train
1114;train
1115;train
1116;train
1117;train
1118;train
1119;train
1120;train
1121;train
1122;train
1123;train
1124;train
1125;train
1126;train
1127;train
1128;train
1129;train
1130;train
1131;train
1132;train
1133;train
1134;train
1135;train
1136;train
1137;train
1138;train
1139;train
1140;train
1141;train
1142;train
1143;train
1144;train
1145;train
1148;train
1149;train
1150;train
1151;train
1152;train
1153;train
1154;train
1155;train
1156;train
1157;train
1158;train
1159;train
1160;train
1161;train
1162;train
1163;train
1164;train
1165;train
1166;train
1167;train
1168;train
1169;train
1170;train
1171;train
1172;train
1173;train
1174;train
1175;train
1176;train
1177;train
1178;train
1179;train
1180;train
1181;train
1182;train
1183;train
1184;train
1185;train
1186;train
1187;train
1188;train
1189;train
1190;train
1191;train
1192;train
1193;train
1194;train
1195;train
1196;train
1197;train
1198;train
1199;train
1200;train
1201;train
1202;train
1203;train
1204;train
1205;train
1206;train
1207;train
1208;train
1209;train
1210;train
1211;train
1212;train
1213;train
1214;train
1215;test
1216;test
1217;test
1218;test
1219;train
1221;test
1222;train
1223;test
1224;test
1225;train
1226;test
1227;test
1228;test
1229;test
1230;train
1231;train
1232;train
1233;train
1234;train
1235;train
1236;train
1237;train
1238;train
1239;train
1240;train
1241;train
1242;test
1243;train
1244;train
1245;train
1246;test
1247;test
1248;test
1249;test
1250;train
1251;train
1252;train
1253;train
1254;train
1255;train
1256;train
1257;train
1258;train
1259;train
1260;test
1261;train
1262;train
1263;test
1264;test
1265;test
1266;test
1267;train
1268;train
1269;train
1270;train
1271;train
1272;train
1273;train
1274;train
1275;test
1276;test
1277;test
1278;test
1279;test
1280;train
1281;train
1282;train
1283;train
1284;train
1285;train
1286;train
1287;train
1288;train
1289;train
1290;train
1291;train
1292;test
1293;train
1294;train
1295;test
1296;train
1297;test
1298;test
1299;test
1300;test
1301;test
1302;test
1303;test
1304;train
1305;test
1306;train
1307;train
1308;train
1309;train
1310;train
1311;train
1312;train
1313;test
1314;train
1315;train
1316;train
1317;test
1318;test
1319;train
1320;train
1321;train
1322;train
1323;train
1324;train
1325;train
1326;train
1327;train
1328;train
1329;train
1330;train
1331;train
1332;train
1333;test
1334;test
1335;test
1336;train
1337;train
1338;train
1339;train
1340;train
1341;train
1342;train
1343;train
1344;train
1345;train
1346;train
1347;train
1348;train
1349;train
1350;train
1351;test
1352;train
1353;train
1354;train
1355;train
1356;train
1357;test
1358;test
1359;test
1360;test
1361;test
1362;test
1363;test
1364;test
1365;train
1366;train
1367;train
1368;train
1369;test
1370;test
1371;test
1372;test
1373;test
1374;test
1375;test
1376;train
1377;train
1378;train
1379;train
1380;test
1381;test
1382;train
1383;train
1384;train
1385;train
1386;train
1387;train
1388;train
1389;train
1390;train
1391;train
1392;train
1393;train
1394;train
1395;train
1396;train
1397;train
1398;train
1399;train
1400;train
1401;train
1402;train
1403;train
1404;train
1405;train
1406;test
1407;test
1408;test
1409;train
1410;train
1411;train
1412;test
1413;test
1414;test
1415;test
1416;test
1417;test
1418;train
1419;train
1420;train
1421;train
1422;train
1423;train
1424;train
1425;train
1426;train
1427;train
1428;train
1429;train
1430;train
1431;train
1432;train
1433;train
1434;train
1435;train
1436;train
1437;train
1438;train
1439;train
1440;train
1441;train
1442;train
1443;train
1444;train
1445;train
1446;train
1447;train
1448;train
1449;train
1450;train
1451;train
1452;train
1453;train
1454;train
1455;train
1456;train
1457;train
1458;train
1459;train
1460;train
1461;train
1462;train
1463;train
1464;train
1465;train
1466;train
1467;train
1468;train
1469;train
1470;train
1471;train
1472;train
1473;train
1474;train
1475;train
1476;train
1477;train
1478;train
1479;train
1480;train
1481;train
1482;train
1483;train
1484;train
1485;train
1486;train
1487;train
1488;train
1489;train
1490;train
1491;train
1492;train
1493;train
1494;train
1495;train
1496;train
1497;train
1498;train
1499;train
1500;train
1501;train
1502;train
1503;train
1504;train
1505;train
1506;train
1507;train
1508;train
1509;train
1510;test
1511;test
1512;test
1513;test
1514;train
1515;train
1516;train
1517;test
1518;train
1519;train
1520;train
1521;train
1522;train
1523;train
1524;train
1525;train
1526;train
1527;train
1528;train
1529;train
1530;train
1531;train
1532;test
1533;train
1534;train
1535;train
1536;train
1537;train
1538;train
1539;train
1540;train
1541;train
1542;train
1543;train
1544;test
1545;train
1546;train
1547;train
1548;train
1549;train
