;set
272;train
273;train
274;train
275;train
276;train
277;train
278;train
279;train
280;train
281;train
282;train
283;train
284;train
285;train
286;train
287;train
288;train
289;train
290;test
291;test
292;test
293;train
294;test
295;train
296;train
297;train
298;train
299;train
300;train
301;train
302;train
303;train
304;test
305;train
306;train
307;train
308;test
309;test
310;train
311;train
312;train
313;train
314;train
315;train
316;test
317;test
318;train
319;train
320;test
321;train
322;train
323;train
324;train
325;train
326;train
327;train
328;train
329;train
330;train
331;train
332;train
333;train
334;train
335;train
336;train
337;train
338;train
339;train
340;train
341;train
342;train
343;train
344;train
345;train
346;train
347;train
348;train
349;train
350;train
351;train
352;train
353;train
354;train
355;train
356;train
357;train
358;train
359;train
360;train
361;test
362;test
363;test
364;test
365;test
366;test
367;test
368;test
369;test
370;test
371;test
372;train
373;train
374;train
375;train
376;test
377;test
378;test
379;test
380;test
381;test
382;test
383;test
384;test
385;test
386;test
387;test
388;test
389;train
390;train
391;train
392;train
393;train
394;train
395;train
396;train
397;train
398;train
399;train
400;train
401;train
402;train
403;train
404;train
405;train
406;train
407;train
408;train
409;train
410;train
411;train
412;train
413;train
414;train
415;train
416;train
417;train
418;train
419;train
420;train
421;train
422;train
423;train
424;train
425;train
426;train
427;train
428;train
429;train
430;train
431;train
432;train
433;train
434;train
435;train
436;train
437;train
438;train
439;train
440;train
441;train
442;train
443;train
444;train
445;train
446;train
447;train
448;train
449;train
450;train
451;train
452;train
453;train
454;train
455;train
456;train
457;train
458;train
459;train
460;train
461;train
462;train
463;train
464;train
465;train
466;train
467;train
468;train
469;train
470;train
471;train
472;train
473;train
474;train
475;train
476;train
477;train
478;train
479;train
480;train
481;train
482;train
483;train
484;train
485;train
486;train
487;train
488;train
489;train
490;train
491;train
492;train
493;train
494;train
495;train
496;train
497;train
498;train
499;train
500;train
501;train
502;train
503;train
504;train
505;train
506;train
507;train
508;train
509;train
510;train
511;train
512;train
513;train
514;train
515;train
516;train
517;train
518;train
519;train
520;train
521;train
522;train
523;train
524;train
525;train
526;train
527;train
528;train
529;train
530;train
531;train
532;train
533;train
534;train
535;train
536;train
537;train
538;train
539;train
540;train
541;train
542;train
543;train
544;train
545;train
546;train
547;train
548;train
549;train
550;train
551;train
552;train
553;train
554;train
555;train
556;train
557;train
558;train
559;train
560;train
561;train
562;train
563;train
564;train
565;train
566;train
567;train
568;train
569;train
570;train
571;train
572;train
573;train
574;train
575;train
576;train
577;train
578;train
579;train
580;train
581;train
582;train
583;train
584;train
585;train
586;train
587;train
588;train
589;train
590;train
591;train
592;train
593;train
594;train
595;train
596;train
597;train
598;train
599;train
600;train
601;train
602;train
603;train
604;train
605;train
606;train
607;train
608;train
609;train
610;train
611;train
612;train
613;train
614;train
615;train
616;train
617;train
618;train
619;train
620;train
621;train
622;train
623;train
624;train
625;train
626;train
627;train
628;train
629;train
630;train
631;train
632;train
633;train
634;train
635;train
636;train
637;train
638;train
639;train
640;train
641;train
642;train
643;train
644;train
645;test
646;test
647;test
648;test
649;test
650;test
651;test
652;test
653;test
654;test
655;test
656;test
657;test
658;test
659;test
660;test
661;test
662;test
663;test
664;test
665;test
666;test
667;test
668;train
669;test
670;test
671;test
672;test
673;test
674;test
675;test
676;test
677;test
678;test
679;test
680;test
681;test
682;test
683;test
684;test
685;test
686;test
687;test
688;test
689;train
690;test
691;train
692;train
693;test
694;test
695;test
696;test
697;test
698;test
699;test
700;test
701;test
702;test
703;test
704;test
705;test
706;test
707;test
708;test
709;test
710;test
711;test
712;test
713;test
714;test
715;test
716;test
717;test
718;test
719;test
720;test
721;test
722;test
723;test
724;test
725;test
726;test
727;test
728;train
729;train
730;test
731;test
732;train
733;train
734;train
735;test
736;test
737;test
738;test
739;test
740;test
741;test
742;test
743;test
744;test
745;test
746;test
747;test
748;test
749;test
750;test
751;test
752;test
753;test
754;test
755;test
756;test
757;test
758;train
759;train
760;test
761;test
762;test
763;test
764;test
765;test
766;test
767;test
768;test
769;test
770;test
771;test
772;test
773;test
774;test
775;test
776;test
777;train
778;train
779;train
780;test
781;test
782;test
783;test
784;test
785;test
786;test
787;test
788;test
789;test
790;test
791;test
792;test
793;test
794;test
795;test
796;test
797;test
798;test
799;test
800;test
801;test
802;test
803;test
804;test
805;test
806;test
807;test
808;test
809;test
810;test
811;test
812;train
813;train
814;test
815;test
816;test
817;test
818;test
819;test
820;test
821;test
822;test
823;test
824;test
825;test
826;test
827;test
828;test
829;test
830;test
831;test
832;test
833;test
834;test
835;test
836;test
837;test
838;test
839;test
840;test
841;test
842;test
843;test
844;test
845;test
846;train
847;train
848;train
849;test
850;train
851;test
852;test
853;test
854;test
855;test
856;test
857;test
858;test
859;test
860;test
861;test
862;test
863;test
864;test
865;test
866;test
867;test
868;test
869;test
870;test
871;test
872;test
873;test
874;test
875;test
876;test
877;test
878;test
879;test
880;test
881;test
882;test
883;test
884;test
885;test
886;test
887;test
888;test
889;test
890;test
891;test
892;test
893;test
894;test
895;test
896;test
897;test
898;test
899;test
900;test
901;test
902;test
903;train
904;train
905;train
906;train
907;train
908;train
909;test
910;test
911;test
912;test
913;test
914;test
915;test
916;train
917;train
918;train
919;test
920;test
921;test
922;test
923;test
924;test
925;test
926;test
927;test
928;test
929;test
930;test
931;test
932;test
933;test
934;test
935;test
936;test
937;test
938;test
939;test
940;test
941;test
942;test
943;test
944;test
945;test
946;test
947;test
948;test
949;test
950;test
951;train
952;train
953;train
954;train
955;train
956;train
957;train
958;test
959;test
960;test
961;test
962;test
963;test
964;test
965;test
966;test
967;test
968;test
969;test
970;test
971;test
972;test
973;test
974;test
975;test
976;test
977;test
978;test
979;test
980;test
981;test
982;test
983;test
984;test
985;test
986;test
987;test
988;test
989;test
990;test
991;test
992;test
993;test
994;test
995;test
996;test
997;test
998;test
999;test
1000;train
1001;test
1002;test
1003;test
1004;test
1005;test
1006;test
1007;test
1008;test
1009;test
1010;test
1011;test
1012;test
1013;test
1014;test
1015;test
1016;test
1017;test
1018;test
1019;test
1020;test
1021;test
1022;test
1023;test
1024;test
1025;test
1026;train
1027;train
1028;train
1029;train
1030;train
1031;train
1032;test
1033;test
1034;test
1035;test
1036;test
1037;test
1038;test
1039;test
1040;test
1041;test
1042;train
1043;train
1044;train
1045;train
1046;train
1054;test
1055;test
1056;test
1057;test
1058;train
1059;train
1060;train
1061;train
1062;train
1063;train
1064;train
1065;train
1066;train
1067;train
1068;train
1069;train
1070;train
1071;train
1072;train
1073;train
1074;train
1075;train
1076;train
1077;train
1078;train
1079;train
1080;train
1081;train
1082;train
1083;train
1084;train
1085;train
1086;train
1087;train
1088;train
1089;train
1090;train
1091;train
1092;train
1093;train
1094;train
1095;train
1096;train
1097;train
1098;train
1099;train
1100;train
1101;train
1102;train
1103;train
1104;train
1105;train
1106;train
1107;train
1108;train
1109;train
1110;train
1111;train
1112;train
1113;train
1114;train
1115;train
1116;train
1117;train
1118;train
1119;train
1120;train
1121;train
1122;train
1123;train
1124;train
1125;train
1126;train
1127;train
1128;train
1129;train
1130;train
1131;train
1132;train
1133;train
1134;train
1135;train
1136;train
1137;train
1138;train
1139;train
1140;train
1141;train
1142;train
1143;train
1144;train
1145;train
1146;train
1147;train
1150;train
1151;train
1152;train
1153;train
1154;train
1155;train
1156;train
1157;train
1158;train
1159;train
1160;train
1161;train
1162;train
1163;train
1164;train
1165;train
1166;train
1167;train
1168;train
1169;train
1170;train
1171;train
1172;train
1173;train
1174;train
1175;train
1176;train
1177;train
1178;train
1179;train
1180;train
1181;train
1182;train
1183;train
1184;train
1185;train
1186;train
1187;train
1188;train
1189;train
1190;train
1191;train
1192;train
1193;train
1194;train
1195;train
1196;train
1197;train
1198;train
1199;train
1200;train
1201;train
1202;train
1203;train
1204;train
1205;train
1206;train
1207;train
1208;train
1209;train
1210;train
1211;train
1212;train
1213;train
1214;train
1215;train
1216;train
1217;test
1218;test
1219;test
1220;test
1221;train
1223;train
1224;train
1225;train
1226;train
1227;train
1228;train
1229;train
1230;train
1231;train
1232;train
1233;train
1234;train
1235;train
1236;train
1237;train
1238;train
1239;train
1240;train
1241;train
1242;train
1243;train
1244;train
1245;test
1246;train
1247;test
1248;test
1249;train
1250;train
1251;train
1252;train
1253;train
1254;train
1255;train
1256;train
1257;train
1258;train
1259;train
1260;train
1261;test
1262;train
1263;train
1264;train
1265;train
1266;train
1267;train
1268;train
1269;train
1270;train
1271;train
1272;test
1273;train
1274;train
1275;train
1276;train
1277;test
1278;test
1279;test
1280;test
1281;test
1282;train
1283;train
1284;train
1285;train
1286;train
1287;train
1288;train
1289;train
1290;train
1291;train
1292;test
1293;test
1294;train
1295;train
1296;test
1297;train
1298;train
1299;train
1300;train
1301;train
1302;train
1303;train
1304;train
1305;train
1306;train
1307;train
1308;test
1309;train
1310;train
1311;train
1312;train
1313;train
1314;train
1315;train
1316;train
1317;train
1318;train
1319;train
1320;train
1321;train
1322;test
1323;train
1324;test
1325;train
1326;train
1327;train
1328;train
1329;train
1330;train
1331;train
1332;train
1333;train
1334;train
1335;train
1336;train
1337;train
1338;test
1339;test
1340;test
1341;train
1342;train
1343;train
1344;train
1345;train
1346;train
1347;train
1348;train
1349;test
1350;test
1351;test
1352;train
1353;train
1354;train
1355;train
1356;train
1357;train
1358;train
1359;test
1360;test
1361;test
1362;test
1363;test
1364;test
1365;test
1366;test
1367;train
1368;train
1369;train
1370;train
1371;test
1372;train
1373;train
1374;train
1375;train
1376;train
1377;train
1378;train
1379;train
1380;train
1381;train
1382;test
1383;test
1384;test
1385;test
1386;test
1387;train
1388;train
1389;train
1390;train
1391;train
1392;train
1393;train
1394;train
1395;train
1396;train
1397;train
1398;train
1399;train
1400;train
1401;train
1402;train
1403;train
1404;test
1405;train
1406;train
1407;train
1408;train
1409;train
1410;train
1411;train
1412;train
1413;train
1414;train
1415;train
1416;train
1417;train
1418;train
1419;train
1420;train
1421;train
1422;train
1423;train
1424;train
1425;train
1426;train
1427;train
1428;train
1429;train
1430;train
1431;train
1432;train
1433;train
1434;train
1435;train
1436;train
1437;train
1438;train
1439;train
1440;train
1441;train
1442;train
1443;train
1444;train
1445;train
1446;train
1447;train
1448;train
1449;train
1450;train
1451;train
1452;train
1453;train
1454;train
1455;train
1456;train
1457;train
1458;train
1459;train
1460;train
1461;train
1462;train
1463;train
1464;train
1465;train
1466;train
1467;train
1468;train
1469;train
1470;train
1471;train
1472;train
1473;train
1474;train
1475;train
1476;train
1477;train
1478;train
1479;train
1480;train
1481;train
1482;train
1483;train
1484;train
1485;train
1486;train
1487;train
1488;train
1489;train
1490;train
1491;train
1492;train
1493;train
1494;train
1495;train
1496;train
1497;train
1498;train
1499;train
1500;train
1501;train
1502;train
1503;train
1504;train
1505;train
1506;train
1507;train
1508;train
1509;train
1510;train
1511;train
1512;test
1513;test
1514;test
1515;test
1516;train
1517;train
1518;train
1519;train
1520;train
1521;train
1522;train
1523;train
1524;train
1525;train
1526;train
1527;train
1528;train
1529;train
1530;train
1531;train
1532;train
1533;train
1534;train
1535;train
1536;train
1537;train
1538;train
1539;train
1540;train
1541;train
1542;train
1543;train
1544;test
1545;test
1546;train
1547;test
1548;train
1549;train
1550;train
1551;train
1552;train
1553;train
1554;train
1555;train
1556;train
1557;train
1558;train
1559;train
1560;train
1561;train
1562;train
1563;train
1564;test
1565;test
1566;train
1567;train
1568;train
